21D0	'Acqua', 'Carro dell'acqua' (Ripa)
11Q71111	il luogo di fondazione di Santa Maria Maggiore indicato (da Maria Vergine) tramite la presenza miracolosa della neve
48C81	il palcoscenico e la sua attrezzatura
11S11	il paradiso rappresentato in cielo, con nuvole (in cerchi concentrici) e luce
94C2	il raduno degli eroi greci ~ guerra di Troia
71E1124	il ritrovamento di Mosè: la figlia di Faraone va a fare il bagno nel fiume con le sue ancelle e scopre il bambino che galleggia sull'acqua
71A81	il sacrificio di Caino e Abele: Abele offre un agnello, Caino generalmente un fascio di spighe
73A2323	il sacrificio di Gioacchino viene rifiutato dal sacerdote
71C131	il sacrificio di Isacco
71B343	il sacrificio di Noè: vengono offerte diverse specie di animali, più comunemente un agnello, una colomba e un ariete (spesso compare contemporaneamente l'arcobaleno dell'alleanza)
11F91	il sacro cuore di Maria Vergine
73D6714	il sangue che sgorga dalle ferite
73E771	il sarcofago di Maria colmo di fiori
73F2233	il secondo viaggio missionario di Paolo (At. 16 - 18, 21)
73E2	il sepolcro vuoto ~ Resurrezione of Cristo
71E324	il serpente di bronzo
71C31211	il sogno di Giacobbe, con una scala al posto della scala a pioli
71C3121	il sogno di Giacobbe: mentre dorme in terra con una pietra per cuscino Giacobbe vede una scala a pioli posta tra la terra e il cielo, con angeli che salivano e scendevano; di solito Dio è rappresentato alla sommità della scala
45B	il soldato; la vita del soldato
73C524	il sudario di Lazzaro viene tolto
71F	il tempo dei Giudici
71F15	il tempo di Debora e Barak
71F21	il tempo di Gedeone (Jerubbaal)
71F3	il tempo di Sansone
73C62	il tributo (Mt. 17, 24-27)
73G21	il trono di Dio ~ Apocalisse
71T5	il viaggio a Ecbatana (Tb. 4 - 6)
41B3	illuminare; lampada
49M41	illustrazione ~ stampati, libro
46C25	imbarcazione a vapore, imbarcazione a motore
46C23	imbarcazione azionata dall'uomo o da animali
46C256	imbarcazione da trasporto, nave da carico
11F24	immagini di Maria Vergine (seduta, senza altri personaggi)
44B112	imperatore
48C3534	impiallacciatura ~ arti applicate
48C167	impiantito, pavimento ~ architettura
41A39	impianto idrico ed elettrico
73A141	imposizione del nome a Giovanni Battista; Zaccaria scrive il nome di Giovanni
41B4	in fiamme
44G31	incarcerazione
46C29	incidente di navigazione; malattia e morte in mare
43C112	incidenti di caccia
46C146	incitare un animale da corsa o un animale da tiro
31A2323	inclinata di lato
31A2321	inclinata in avanti
33A13	incontrarsi
93A	incontri degli dei
93	incontri e dimore degli dei
73A235	incontro di Anna e Gioacchino alla Porta Aurea; sono in genere rappresentati mentre si abbracciano o baciano (immacolata concezione di Maria)
73A2351	incontro di Gioacchino e Anna dinnanzi alla loro casa
71C117	incontro tra Abramo e Melchisedec, il sommo sacerdote e re di Salem, che gli offre pane e vino
31E51	incontro tra i (tre) vivi e i (tre) morti
71T76	incontro tra i genitori e il figlio
44B162	incoronazione
43A433	incoronazione d'alloro
73E792	incoronazione di Maria da parte di Cristo
73E793	incoronazione di Maria da parte di Dio Padre e Cristo
73E795	incoronazione di Maria da parte di uno o più angeli
73E79	incoronazione di Maria in cielo (di norma è rappresentata la Trinità)
73E36	incredulità di Tommaso
31A25552	indice puntato in avanti, che indica
31A25551	indice verso l'alto
12H	induismo, buddismo, jainismo
57A73	indulgenza, clemenza; 'Clemenza', 'Clemenza e Moderatione', 'Indulgenza' (Ripa)
47H	industria tessile e dell'abbigliamento
47B2	industrie
31D1112	infante di sesso femminile
31D111	infante, neonato (di sesso non definito) ~ età dell'uomo
92L112	infanzia, educazione di Bacco
94L12	infanzia, educazione di Ercole
92B112	infanzia, educazione di Giove
92B212	infanzia, educazione di Vulcano
11T	inferno e purgatorio
73D14	ingresso a Gerusalemme: la folla stende i propri mantelli davanti a Cristo che cavalca un'asina, agitando rami di palma (Mt. 21, 1-11, 14-16, Mc. 11, 1-11; Lc. 19, 28-40; Gv. 12, 12-19)
43A42	ingresso trionfale e accoglienza pubblica, parata, 'entrée solemnelle', 'joyeuse entrée'
49L17	iniziale
49L171	iniziale istoriata
57A631	innocenza; 'Innocenza', 'Innocenza o Purità' (Ripa)
44B16	insediamento di un sovrano
11P31121	insegne cardinalizie, p.es.: cappello, mantello
45D11	insegne di compagnie, ecc.
44B19	insegne e simboli di sovranità (corona, diadema, scettro, globo, sigillo, stendardo, manto, pettorale
44BB19	insegne e simboli di sovranità (corona, diadema, scettro, globo, sigillo, stendardo, manto, pettorale - BB - governatrice, signora, sovrana
11P31131	insegne episcopali, p.es.: mitra, pastorale
11P31111	insegne papali, p.es. tiara
45D	insegne; divisione delle forze armate; ranghi
25H1333	insenatura costiera
25F711	insetti
48C35341	intarsio ~ arti applicate
52A	intelligenza e facoltà intellettuali
41A2	interno della casa
11Q713	interno della chiesa
41C211	interno di cucina
48C1426	interno ~ disegno o modello architettonico
48C1412	interno ~ raffigurazione di un edificio
48C85211	interpretazione di un personaggio femminile di un'attore
48C83	interprete, artista (teat.) (situazioni non lavorative)
48A98781	intreccio astratto, intreccio a nodo ~ composizioni decorative
48A98783	intreccio floreale ~ composizioni decorative
48A98782	intreccio zoomorfo ~ composizioni decorative
48A9878	intreccio ~ composizioni decorative
31A41	invalidità, deformazioni
31A4	invalidità, deformazioni e mostruosità; malattie
31AA4	invalidità, deformazioni e mostruosità; malattie - AA - figura umana femminile
23E41	inverno ~ attività umane (le quattro stagioni dell'anno)
23D41	inverno, 'Hyems'; 'Inverno' (Ripa)
25F7	invertebrati
49L8	iscrizione
25H14	isola
73D244	istituzione dell'Eucaristia, ovvero Cristo che mostra o benedice il pane (l'ostia) e/o il vino (Mt. 26, 26-27; Mc. 14, 22-23; Lc. 22, 19-20; Gv. 13, 26; 1 Cor. 11, 23-25)
73A52	l'Annunciazione: Maria, generalmente raffigurata mentre legge, è visitata dall'angelo (talora è presente una donna che origlia)
73AA52	l'Annunciazione: Maria, generalmente raffigurata mentre legge, è visitata dall'angelo (talora è presente una donna che origlia) - AA - Maria a sinistra, l'angelo a destra
73E42	l'Ascensione (Cristo circondato da una luce radiosa o in una mandorla)
11Q7324	l'Eucaristia ~ il quarto dei sette sacramenti
71E135	l'adorazione del vitello d'oro
71A3212	l'albero della vita e l'albero della conoscenza del bene e del male
71T57	l'angelo Raffaele dice a Tobia di tagliare alcune parti del pesce
73A2332	l'angelo annuncia a Gioacchino la nascita di Maria
31G	l'anima
31G3	l'anima dopo la morte
73A5	l'annuncio della nascita di Cristo (Lc. 1, 26-38)
71B332	l'arca di Noè si posa sul monte Ararat
71B331	l'arca galleggia sulle acque, mentre la vita sulla terra è distrutta ~ storia di Noè
11G1841	l'arcangelo Gabriele annuncia a Maria Vergine e a Gesù Bambino la Passione
73D314	l'arresto di Cristo ~ orto di Getsemani
71M8	l'ascensione di Elia (2 Re 2, 1-18)
73B281	l'asino e il bue alla mangiatoia ~ nascita di Cristo
54	l'azione
71B352	l'ebbrezza di Noè
71C213	l'incontro al pozzo: Eliezer vede arrivare Rebecca con un'anfora
73D352	l'incoronazione di spine: i soldati con dei bastoni premono la corona di spine sul capo di Cristo, e gli danno in mano una canna (Mt. 27, 27-31; Mc. 15, 16-20; Gv. 19, 2-3)
11T13	l'inferno rappresentato come una caverna o una grotta
43C1131	l'uccisione (~ caccia)
71A82	l'uccisione di Abele: Caino lo colpisce con una pietra, una clava o una mascella, in alternativa con una spada o un altro arnese come arma
71A311	l'uomo (Adamo) prende vita: geralmente con la rappresentazione di Dio che gli tende la mano o gli inspira la vita nelle narici
11P	la Chiesa (come istituzione)
11P14	la Chiesa militante (sulla terra)
73D5	la Crocifissione: fatti precedenti alla morte di Cristo in croce (Mt. 27, 34-58; Mc. 15, 23-45; Lc. 23, 33-52; Gv. 19, 18-38)
73G	la Rivelazione di Giovanni, l'Apocalisse
73B69	la Sacra Famiglia (talvolta con altri personaggi) ritorna in Israele
73C713	la Trasfigurazione: Mosè ed Elia appaiono ai lati di Cristo sul monte Tabor (Mt. 7, 1-13, Mc. 9, 2-13, Lc. 9, 28-36)
11B31	la Trinità rappresentata come tre persone
11B1	la Trinità rappresentata da simboli tripartiti
11B	la Trinità, 'Trinitas coelestis'; Padre, Figlio e Spirito Santo ~ religione cristiana
71C128	la cacciata di Agar e Ismaele
71E524	la caduta di Gerico
94H2	la caduta di Troia; l'incendio di Troia
71N3	la cattura degli Aramei (2 Re 6, 8-23)
73E343	la cena in Emmaus: i discepoli riconoscono Cristo nel momento in cui benedice o spezza il pane
71O91	la chiamata di Ezechiele (Ez. 1 - 3)
71B33221	la colomba torna con un ramoscello di olivo ~ storia di Noè
71E52	la conquista di Canaan da parte degli Ebrei sotto il comando di Giosuè (parte I)
71D19	la coppa scomparsa
71D1922	la coppa viene ritrovata nel sacco di Beniamino
71I4321	la costruzione del tempio
11D121	la croce come simbolo di Cristo
11D122	la croce con sopra il simbolo di Cristo, p.es. l'agnello
11D12	la croce ~ simboli di Cristo
73D551	la croce, sulla quale è inchiodato Cristo, viene eretta
71C124	la distruzione di Sodoma e Gomorra: Lot con i suoi familiari fuggono a Segor, portando con sé i propri beni; in qualche caso un angelo mostra loro la strada
73C7221	la donna di Samaria (Gv. 4, 4-42)
73E74	la dormizione: Maria sul letto di morte; gli apostoli sono riuniti intorno a lei (Giovanni Evangelista può essere rappresentato mentre dorme o sogna)
42G	la famiglia, parentela, discendenza
31A	la figura umana (nuda); 'Corpo humano' (Ripa)
31AA	la figura umana (nuda); 'Corpo humano' (Ripa) - AA - figura umana femminile
73B641	la fuga in Egitto: Maria, Giuseppe e il Bambino (e talvolta altri personaggi) in cammino; Maria in genere è a cavallo di un asino
73BB641	la fuga in Egitto: Maria, Giuseppe e il Bambino (e talvolta altri personaggi) in cammino; Maria in genere è a cavallo di un asino - BB - predominanza del paesaggio
94C	la guerra di Troia
73F3563	la lapidazione di Stefano; i testimoni depositano le loro vesti ai piedi di Saulo
11D411	la leggenda della Vera Croce
71A83	la maledizione e la fuga di Caino
71D1331	la moglie di Putifarre afferra Giuseppe per la veste, di solito rappresentata sdraiata nel letto; Giuseppe fugge lasciandole in mano il suo mantello (in qualche caso con la raffigurazione di un bambino nudo in una culla)
71D133	la moglie di Putifarre tenta di sedurre Giuseppe
71V13	la nave viene sorpresa da una violenta tempesta
96B33	la partenza dei Troiani da Cartagine
71L1423	la raccolta del bottino
71E12541	la raccolta della manna (in cesti e vasi)
73C523	la resurrezione di Lazzaro ('Lazzaro, vieni fuori')
11I21	la sibilla Tiburtina e Augusto: la sibilla mostra all'imperatore la visione della Madonna in Cielo
94A	la storia degli Argonauti; la ricerca del vello d'oro
71P	la storia del profeta Daniele; visioni e profezie
96B	la storia delle peregrinazioni di Enea in Italia (Virgilio, Eneide)
73B633	la strage degli innocenti; talvolta vi assiste Erode
71U42741	la testa di Oloferne viene posta su un piatto e coperta con un panno
96B3	la tragedia di Didone (En. IV)
73G22	la visione dell'Agnello e del libro con i sette sigilli
71O933	la visione della valle delle ossa aride (Ez. 37, 1-10)
71C122	la visita dei tre angeli (tre uomini)
11R	la vita umana
31D	la vita umana e le sue età (giovane, adulto, vecchio, ecc.)
11D1131	labaro, ovvero stendardo imperiale con il monogramma IHS
25F41	lacertidi
25H214	lago
41B34	lampada a olio
41B37	lampada elettrica
41B311	lampadario (a più bracci), candelabro
41A3111	lapide di facciata
41D42	lavaggio
31A54	lavarsi e bagnarsi
41D4282	lavatoio pubblico, nave-lavatoio
47H3	lavorazione dei filati
42F3	lavori domestici, a giornata
11V	le (sette) opere di misericordia
73D431	le 14 stazioni francescane della Via crucis
92D41	le Muse che agiscono insieme (come gruppo)
11T5	le anime dannate e le loro punizioni
48C8	le arti del palcoscenico: balletto, teatro, dramma musicale, spettacolo cinematografico
49C1	le arti liberali, 'Artes Liberales'; le Quattro Facoltà
48C4	le arti monumentali
48C	le arti; artista
71E117	le dieci piaghe
71E1173	le dieci piaghe (parte II)
92C	le divinità femminili maggiori del cielo e il loro seguito
94L33	le dodici fatiche di Ercole: seconda serie
31D1	le età dell'uomo
92B1122	le ninfe riempiono con fiori e frutta il corno della capra Amaltea, che diviene così la Cornucopia
73E22	le pie donne (le tre Marie) al sepolcro, o in cammino verso il sepolcro, per ungere il corpo di Cristo
11S7	le quattordici Beatitudini
11M4	le quattro Virtù Cardinali
23E4	le quattro stagioni ~ attività umane
71E11241	le schiave tirano fuori dall'acqua Mosè
92D192132	le sorelle di Psiche sono condotte presso di lei da Zefiro
71E3152	le spie portano via alcuni frutti da Canaan e tornano, di solito portando un grosso tralcio con grappoli d'uva su una stanga
11M3	le tre Virtù Teologali
94F8	le ultime imprese di Patroclo e la sua morte (Il. XVI-XVIII
23R3	le ventiquattro ore del giorno e della notte
47I142	legare ~ raccolto
44G	legge e giurisprudenza
11D4	leggende e devozioni ~ Cristo
11Q73244	leggende e miracoli relativi all'Eucaristia (o all'ostia)
11F83	leggende e miracoli ~ Maria Vergine
11D41	leggende ~ Cristo
31A311	lenti, occhiali
11I423	leone (generalmente con libro) ~ simbolo di San Marco
23O32	leone (segno zodiacale di luglio)
49L1	lettera, alfabeto, carattere
46E221	lettera, busta
48C9	letteratura ~ arti
11D11	lettere e monogrammi ~ simboli di Cristo
41A761	letto
41A7611	letto con spalliera incorporata (olandese: 'bedstee')
31E12	letto di morte
49N	lettura
11T61	liberazione delle anime dal purgatorio
11Q7147	libri ecclesiastici, rotuli, ecc.
49M32	libro
49MM32	libro - MM - libro aperto
42G1	lignaggio familiare, albero genealogico, tavola genealogica
49D32	linea (~ planimetria, geometria)
49D322	linea curva (~ planimetria, geometria)
48C7323	liuto, e tipi particolari di liuto, p.es.: tiorba
11E	lo Spirito Santo
73E51	lo Spirito Santo emana da Dio Padre (o alla presenza di Dio Padre)
73E53	lo Spirito Santo emana dal trono vuoto di Cristo
11E1	lo Spirito Santo rappresentato come colomba (tra le fiamme)
11E2	lo Spirito Santo rappresentato in forma di fiamme
71B34	lo sbarco ~ storia di Noè (Gen. 8, 18 - 9, 17)
43A37	lo spettacolo; artisti da fiera e da circo
43B31	locanda, caffè, pub
41A381	loggia, veranda
45H34	lotta (individuale) in alternativa a una battaglia
41B5	lotta contro il fuoco, attività antincendio
94G6	lotta tra Ulisse e Aiace Telamonio per le armi di Achille
22C	luce
22C3	luce soprannaturale
22C31	luce, fulgore emanato da persone o cose
23I31	luglio; 'Luglio' (Ripa)
24B3	luna calante
24B	luna come corpo celeste
12F6	luoghi e oggetti di culto ~ religione romana
12B6	luoghi e oggetti di culto ~ religioni non cristiani
46B1	luoghi per trattare commerci
11Q7111	luogo di fondazione di una chiesa indicato da un miracolo
47D	macchine; parti di macchine; arnesi e strumenti
42B121	madre con figlio/figli (amore materno)
42B123	madre con figlio/figli e figlia/figlie (amore materno)
42A3	madre con il neonato, con il piccolo
42B7421	madre con uno o più figli (maschi) (gruppo di famiglia)
42B742	madre/donna con uno o più figli/figlie (gruppo di famiglia)
23I22	maggio; 'Maggio' (Ripa)
13	magia, soprannaturale, occultismo
57A682	magnificenza; 'Magnificenza' (Ripa)
47I212	maiale
31A462	malattie che colpiscono l'intero corpo
31A46	malattie, infermità
31AA46	malattie, infermità - AA - figura umana femminile
25F2	mammiferi
25F27	mammiferi acquatici
34B22	mammiferi domestici tenuti fuori casa
47I2211	mandria, gregge
41C1	mangiare e bere
31A2522	mani giunte
31A2245	mano
31A25162	mano sul cuore
31A2531	mano/i piegata/e verso la testa
56EE2	mansuetudine; 'Mansuetudine' (Ripa)
25H2322	mare
25H23	mare (paesaggio marino)
25HH23	mare (paesaggio marino) - HH - paesaggi ideali
25H232	mari, oceani, ecc., specifidi
48C8552	marionetta
11Q14	martire/i (generalmente con foglie di palma)
11QQ14	martire/i (generalmente con foglie di palma) - QQ - donna/e martire/i
73F2351	martirio di Giovanni davanti a Porta Latina: è immerso in un calderone di olio bollente, ma rimane illeso
73F253	martirio e morte di Andrea
73F274	martirio e morte di Bartolomeo
73F264	martirio e morte di Filippo
73F243	martirio e morte di Giacomo
73F235	martirio e morte di Giovanni
73C13	martirio e morte di Giovanni Battista (Mt. 14, 3-12; Mc. 6, 17-29)
73F224	martirio e morte di Paolo
73F216	martirio e morte di Pietro
73F356	martirio e morte di Stefano
23I13	marzo; 'Marzo' (Ripa)
41D283	maschera
48A98211	maschera, mascherone ~ elementi decorativi
48AA98211	maschera, mascherone ~ elementi decorativi - AA - stilizzata
31A71	maschio; uomo
25H1124	masso, pietra
49D	matematica
49L64	materiali, superfici, su cui scrivere
73A232	matrimonio di Gioacchino e Anna
73A42	matrimonio di Maria e Giuseppe, 'Sposalizio': sono uniti in matrimonio dal sommo sacerdote
71T63	matrimonio di Tobia e Sara
11Q7326	matrimonio in chiesa ~ il sesto dei sette sacramenti
42D3	matrimonio, coppia sposata, 'matrimonium'
48A98333	mazzo di fiori ~ elementi decorativi
48C26	medaglia (considerata come un oggetto di scultura, senza riguardo alla sua funzione specifica)
42E213	medaglia commemorativa
45B433	medaglie e altri distintivi di onore militare
48A9877	medaglione ~ composizioni decorative
49G	medicina
49G1	medico, dottore
11Q2121	meditazione su un teschio e/o un crocifisso
92L1911	menadi, le baccanti
46A151	mendicante
41A712	mensole, scaffali, rastrelliera, credenza
31B5	mente sotto l'effetto di alcolici, droghe o stimolanti
31B	mente, spirito
71D125	mentre i fratelli di Giuseppe stanno mangiando, una carovana di mercanti Ismaeliti (Madianiti) passa per quel luogo: Giuda propone di vender loro Giuseppe
23I1	mesi del primo quarto dell'anno
23I2	mesi del secondo quarto dell'anno
23I3	mesi del terzo quarto dell'anno
23I4	mesi della quarta parte dell'anno
11Q7311	messa (funzione religiosa, in particolare della Chiesa Cattolica Romana)
47	mestieri e industrie
97O	metamorfosi di oggetti, piante, fiori
97AA	metamorfosi di personaggi femminili in alberi
97CC	metamorfosi di personaggi femminili in mammiferi
97C	metamorfosi di personaggi maschili in mammiferi
97	metamorfosi ~ mitologia classica
45H5	mettere fuori combattimento durante una battaglia
45HH5	mettere fuori combattimento durante una battaglia - HH - essere messi fuori combattimento
45HH52	mettere fuori combattimento ferendo - HH - essere messi fuori combattimento
45H53	mettere fuori combattimento uccidendo
45H4	mettere in fuga il nemico (durante una battaglia)
45HH4	mettere in fuga il nemico (durante una battaglia) - HH - essere messi in fuga, fuggire
54B1	mezzi
46B3	mezzi e metodi ausiliari impiegati in commercio e finanza
54B	mezzi e modi dell'agire
47I141	mietere, cogliere, falciare ~ raccolto
11P442	militante che fa proseliti: guerra di religione, crociata, ecc.
44B211	ministro ~ governo
73C3	miracoli di Cristo ~ acqua
73C4	miracoli di Cristo ~ guarigioni di malati
73C5	miracoli di Cristo: resurrezione dalla morte
73F234	miracoli di Giovanni
73F212	miracoli di Pietro (talvolta in collaborazione con altri)
11G1835	miracoli di San Michele arcangelo
73F354	miracoli di Stefano
73C61	miracoli legati ai pasti
11F8	miracoli, apparizioni e leggende ~ Maria Vergine
71E125	miracolo della manna e delle quaglie
73C712	missione degli apostoli
73E376	missione di Pietro ('pasce oves meas'): Cristo indica un'agnello, Pietro può essere rappresentato con le chiavi in mano
95A	miti eroici greci (II): eroi, personaggi maschili
95B	miti eroici greci (II): eroine, personaggi femminili
91	miti relativi alla creazione; cosmogonia, teogonia e origine dell'uomo
41A75	mobili decorativi
11Q7145	mobili liturgici
41A73	mobili per immagazzinare
41A76	mobili per sdraiarsi
41A72	mobili per sedersi
41A7	mobili, arredi e oggetti domestici
41A71	mobilio sui quali porre oggetti
41D1	moda
41D	moda, abbigliamente
48C165	modanature ~ architettura
48C1422	modello ~ architettura
46C2231	molo, banchina, pontile
73C421	molti infermi giacciono vicino alla piscina di Betzaeta ~ Cristo guarisce i paralitici (Gv. 5, 1-9)
73C612	moltiplicazione dei pani e dei pesci per sfamare una folla di quattro o cinquemila persone (Mt. 14, 13-21; 15, 32-39; Mc. 6, 32-44; 8, 1-10; Lc. 9, 10-17, Gv. 6, 1-14)
11P31522	monaca/monache
11P3152	monaci e monache
11P31521	monaco/i, frate/i
46B311	moneta
11F12	monogrammi di Maria Vergine
25H11	monti
25HH11	monti - HH - paesaggi ideali
47I2131	montone
25I152	monumento, statua
57	moralità
31B62	morfologia dell'espressione del volto
31B623	morfologia dell'espressione del volto ~ bocca
31B621	morfologia dell'espressione del volto ~ occhi
31B6	morfologia dell'espressione umana
31E1	morire
31E	morte dell'essere umano
73D63	morte di Cristo sulla croce in cui un momento specifico viene posto in particolare rilievo (a morte appena avvenuta)
73E7	morte di Maria, assunzione e incoronazione (sono talvolta presenti alcune delle 'figlie degli Ebrei')
94O68	morte di Orfeo: viene dilaniato dalle donne tracie durante un'orgia bacchica
73E8	morte e incoronazione di Giuseppe
31E2362	morte violenta per amputare, tagliare, segare, strappare parti del corpo
31E2343	morte violenta per colpi in altre parti del corpo
31E234	morte violenta per colpi, calci, punture o colpi di oggetti appuntiti, ecc.
31E23621	morte violenta per decapitazione
31E2353	morte violenta per essere legati in posizione innaturale
31E23431	morte violenta per fustigazione
31E236	morte violenta per mutilazione o menomazione
31E23531	morte violenta sulla ruota
31E235	morte violenta ~ maltrattamento, tortura
31E23	morte violenta, omicidio; maltrattamento; cercare la morte
11Q31	mortificazione dei sensi ~ vita ascetica
31A45	mostri di forma mista umana ed animale; 'Mostri' (Ripa)
31AA45	mostri di forma mista umana ed animale; 'Mostri' (Ripa) - AA - figura umana femminile
92I7	mostri marini
31A456	mostri ~ pesci
31A453	mostri ~ uccelli
43A3461	mostruosità umane ~ fenomeni da baraccone
48A981	motivi geometrici ~ decorazioni
31A27	movimenti del corpo umano
31AA27	movimenti del corpo umano - AA - figura umana femminile
31A271	movimenti in avanti del corpo umano
45F4	movimenti o trasporto di truppe
31A272	movimento in su e in giù
31A276	movimento nell'aria
47I2112	mucca
46C13143	mulo
25I146	mura di città
45K141	mura ~ città fortificata
11P31516	muro di cinta dell'abbazia
48C7	musica
48CC7	musica - CC - all'esterno
48C755	musica vocale, canto
48C72	musicista
73A14	nascita di Giovanni Battista, talvolta è presente Maria
73A31	nascita di Maria
73A3	nascita e giovinezza di Maria
73B	nascita e primo periodo della vita di Cristo
71E112	nascita ed educazione di Mosè
48A9851	nastro, cartiglio, banderuola ~ elementi decorativi
2	natura
41E1	natura morta di oggetti attinenti
41E	natura morta di oggetti vari
41A671	natura morta di piante, fiori, e frutta
46C21	nave (in generale)
46C28	navigazione e manovra
73D331	negazione di Pietro, in genere davanti a una serva e ad alcuni soldati
46B13	negozio, magazzino
73D3532	nel palazzo di Pilato Cristo è schernito dai soldati (Lc. 22,63-65)
26A32	nembo, o nubi da pioggia
26D1	neve
22C311	nimbo, aureola, alone ~ luce emanata da persone o cose
92L3	ninfe (in generale); 'Ninfe in commune' (Ripa)
46A12	nobiltà e patriziato; cavalleria, rango di cavaliere
57A68	nobiltà; 'Nobiltà' (Ripa)
61G	nome di manufatti e costruzioni
61E	nomi di città, cittadine e villaggi
61F	nomi di edifici, luoghi, strade storiche, ecc.
61I	nomi di eventi e situazioni storiche
61H	nomi di organizzazioni, compagnie, società, ecc.
61D	nomi geografici di paesi, regioni, monti, fiumi, ecc.
61C1	nomi propri di piante
61C	nomi propri di piante o animali
45M	non combattenti ~ guerra
48C74	notazione di musica
23R14	notte
23R141	notte ~ paesaggio (anche detta 'Nox')
92D192181	nozze di Cupido e Psiche
26A	nubi
26A4	nubi basse e nubi originate da correnti d'aria ascendenti
26A3	nubi di altitudine inferiore
42Z	nuclei familiari esotici e non monogami
41C	nutrizione, nutrimento
53B5	obbedienza; 'Obedienza' (Ripa)
25I153	obelisco
11C11	occhio que vede tutto, occhio iscritto in un triangolo ~ simbolo di Dio Padre
45L	occupazione ~ guerra
55C22	offerta; 'Offerta overo Oblatione' (Ripa)
11Q61	offrire un 'ex voto'
12A754	oggetti rituali usati in privato ~ doveri personali, cultura ebraica
44B13	omaggio a un sovrano
22C8	ombra
25H2311	onda
59B31	onore, gloria; 'Ampiezza della Gloria', 'Gloria de prencipi', 'Gloria e Honore', 'Honore', 'Sublimità della Gloria' (Ripa)
45B43	onori militari
48C862	opera
48C33	opera di arte applicata
48C24	opera di scultura, riproduzione di un'opera di scultura
41A65	opere idriche in giardino
71H61	opere personali di David
54B12	opportunità, convenienza, tempestività
73D312	orazione di Cristo nell'orto di Getsemani durante la notte
11Q212	orazione mentale, meditazione; 'Meditatione', 'Meditatione spirituale' (Ripa)
48C1634	ordine corinzio ~ architettura
48C1631	ordine dorico ~ architettura
48C163	ordini architettonici, trattati sugli ordini architettonici
11P312	ordini sacri o maggiori ~ Chiesa Cattolica Romana
31A2213	orecchie
44B2	organi di governo e di rappresentanza
31A2236	organi sessuali (umani)
31A22361	organi sessuali maschili
46B5	organizzazione commerciale e finanziaria
42F	organizzazione domestica, cura e gestione della famiglia; casalinga al lavoro
11P31531	organizzazione gerarchica in convento
49BB4428	organizzazione studentesca - BB - studentessa
11P31	organizzazione, funzionari e dignitari nella Chiesa Cattolica Romana; clero in generale
11P3	organizzazione, funzionari e dignitari nella Chiesa e in istituzioni correlate
91E	origine dell'uomo
41A64	ornamenti da giardino
41D266	ornamenti, gioielli
48C35	ornare, decorare ~ arti applicate
43A3743	orsi ~ circo
25F62	osteitti
11Q71444	ostensorio
23I41	ottobre; 'Ottobre' (Ripa)
47I213	ovino, pecora
45A2	pace
45A232	pace e prosperità, 'Pax et Abundantia'
25H	paesaggi
25HH	paesaggi - HH - paesaggi ideali
25H2	paesaggi con acque, panorami con acque, marine (della zona temperata)
25HH2	paesaggi con acque, panorami con acque, marine (della zona temperata) - HH - paesaggi ideali
25K1	paesaggi delle regioni tropicali e subtropicali
25KK1	paesaggi delle regioni tropicali e subtropicali - KK - paesaggio ideale
25K	paesaggi delle zone non temperate, paesaggi esotici
25KK	paesaggi delle zone non temperate, paesaggi esotici - KK - paesaggio ideale
25H1	paesaggi di zone temperate
25HH1	paesaggi di zone temperate - HH - paesaggi ideali
25I8	paesaggio con (altre) costruzioni edificate dall'uomo non nominate in 25I1 - 25I7, p.es.: camposanti, luoghi di svago e villeggiatura, ecc.
25I7	paesaggio con monumento
25I6	paesaggio con ponte, viadotto o acquedotto
25I9	paesaggio con rovine
25I5	paesaggio con torre o castello
41A11	palazzo
41AA11	palazzo - AA - architettura civile: in un'interno
41A111	palazzo o palazzetto nell'ambito di una città
41A723	panca
11D134	pane e pesce ~ simboli di Cristo
11Q7151	pane, ostia
41C621	pane, pagnotta
41C62	pane, torta, pasticceria, ecc.
48A9852	panno a pieghe, panneggio ~ elementi decorativi
11P3111	papa
11P31113	papa che dà udienza
73C864	parabola del figliol prodigo (Lc. 15, 11-32)
73C86	parabole e massime di Cristo ~ amore umano e divino
73C82	parabole e massime di Cristo ~ animali
12A5211	paramenti del sommo sacerdote ~ religione ebraica
45B51	parata, corteo militare
43A3	parco di divertimenti e circo
42G22	parentela di secondo grado
42G2	parentele familiari (primo, secondo, terzo e quarto grado), generazioni
31B6235	parlare
31A2243	parte inferiore del bracio, avambraccio
41D428	parte interna o esterna di un edificio dove si (lava) fa il bucato
41D233	parte o capo di abbigliamento per gambe e piede
45F42	partenza (di truppe)
45B12	partenza per unirsi al reparto, alla compagnia ~ servizio militare
31A22	parti del corpo umano (scheletro escluso)
31AA22	parti del corpo umano (scheletro escluso) - AA - figura umana femminile
11Q73232	parti della confessione
41A3	parti di casa o edificio
47D7	parti di macchine
11Q7121	parti esterne della chiesa ed edifici annessi
11QQ7121	parti esterne della chiesa ed edifici annessi - QQ - piccola chiesa, cappella
46C215	parti esterne della nave
11Q7131	parti interne della chiesa
48C16	particolari architettonici
73D67	particolari iconografici delle scene relative alla crocifissione (da usare solo come codice aggiuntivo)
73D671	particolari iconografici delle scene relative alla crocifissione ~ figura di Cristo (esclusivamente come codice aggiuntivo)
42A2	parto, nascita
71E122	passaggio del Mar Rosso
31A27113	passeggiare
